filename,led_role,gauss_x,gauss_y,sigma_x,sigma_y,FWHM_px,centroid_x,centroid_y,peak of gauss,blob area,centroid_to_gauss_dist
range466_exp100_1.dng,central,617.688982434689,379.961596109141,2.32885870484487,2.43791372886162,5.61390799264729,617.433883142298,379.53228962818,69.6888684266131,82,0.499379318328135
range466_exp100_10.dng,central,617.688891671305,379.956601280531,2.33080941809645,2.4429822176851,5.62225533927626,617.441009642655,379.54622802042,69.5315336337937,80,0.479428527250945
range466_exp100_11.dng,central,617.691293917997,379.987480254939,2.32871079683575,2.41867683397506,5.59061914411387,617.409983174425,379.592821088054,69.9263888968639,82,0.484656158998932
range466_exp100_12.dng,central,617.687971498709,379.969594735776,2.32469580205258,2.42221493500676,5.59023333344257,617.460321942954,379.521604066648,69.7510710439934,81,0.502513641468049
range466_exp100_13.dng,central,617.688428773159,379.978850224028,2.30954672531062,2.42327850212071,5.57407835326115,617.417775261817,379.567506368525,69.791559732664,81,0.492399320329969
range466_exp100_14.dng,central,617.687876934595,379.974470604366,2.32000730114584,2.41339506309779,5.57423374900868,617.447627071047,379.550407188992,71.3569944644306,80,0.487390784887728
range466_exp100_15.dng,central,617.66926940998,379.983645607541,2.31818306248693,2.40647569726077,5.5638256383761,617.439762443439,379.557409502262,70.8063938081635,80,0.484097784681609
range466_exp100_16.dng,central,617.681466062294,379.987078351631,2.32115538438433,2.42584253234266,5.59051566826446,617.469243792325,379.56151241535,69.8033084117907,81,0.475546693809592
range466_exp100_17.dng,central,617.690749363285,379.953622661184,2.32976894006692,2.44051105412823,5.61808249610879,617.45682137834,379.517018284107,69.7259947910272,81,0.495323817541241
range466_exp100_18.dng,central,617.690763789751,379.975899481346,2.33426933702997,2.43153124111329,5.61246353576839,617.437237908862,379.544870002796,69.8161439817677,82,0.500061779842646
range466_exp100_19.dng,central,617.704595294108,379.980246320271,2.3487514042419,2.4413497466303,5.64096051791928,617.453094371325,379.576029123495,69.0184486786237,82,0.476071692427832
