filename,led_role,gauss_x,gauss_y,sigma_x,sigma_y,FWHM_px,centroid_x,centroid_y,centroid_to_gauss_dist
range233_exp20_1.dng,central,603.222671622725,384.088045782962,4.12178138359329,4.20424462819395,9.80313554180185,602.322283311772,382.918175937904,1.47624339621767
range233_exp20_10.dng,central,603.205931198118,384.133120262318,4.07371599747687,4.14286814049463,9.6742777263872,602.348200312989,382.889671361502,1.51058513174346
range233_exp20_11.dng,central,603.1961811703,384.121198824072,4.06984036661867,4.15835248867526,9.68794593126875,602.366355435987,382.953315398006,1.43267667190083
range233_exp20_12.dng,central,603.151406159597,384.137150662979,4.09621108944912,4.17320969866957,9.73648805845129,602.374063212773,383.016617790811,1.36376536639788
range233_exp20_13.dng,central,603.202070763563,384.082678406087,4.11249637032044,4.18651504158497,9.77132831661732,602.503319838057,382.957408906883,1.32456947788225
range233_exp20_14.dng,central,603.115913187485,384.147539331095,4.1423486117391,4.14597317414496,9.75874225783848,602.274829045913,383.030446108759,1.39832750119264
range233_exp20_15.dng,central,603.190275314361,384.083325160911,4.10549104449138,4.15328696816035,9.72395716192325,602.417392733848,382.987341772152,1.34109174618879
range233_exp20_16.dng,central,603.256565634071,384.086648721668,4.08765230266263,4.15136553351459,9.70069135804089,602.254933418899,382.772019894112,1.65272987772017
range233_exp20_17.dng,central,603.172791407676,384.129997859954,4.11763591562933,4.1441131348169,9.72745528769875,602.283467094703,382.918619582665,1.50277578644749
range233_exp20_18.dng,central,603.193830811068,384.122873004605,4.0646036599615,4.1522398194942,9.67458307730943,602.381547333013,382.964920711197,1.41444616812756
range233_exp20_19.dng,central,603.220935575816,384.073202268464,4.0871002154088,4.15576095713196,9.70521653574887,602.429181728557,382.942819585935,1.38008665076201
range233_exp20_2.dng,central,603.231990255594,384.106450280274,4.1058064734712,4.15430232977279,9.7255240463571,602.31233974359,383.053365384615,1.39812190516207
range233_exp20_20.dng,central,603.216736297639,384.073379145953,4.12518586902713,4.16312288780834,9.75872691732321,602.487893864013,382.883582089552,1.3952879016434
range233_exp20_21.dng,central,603.218375725613,384.167334838363,4.1156823787511,4.09451549801332,9.66675848682084,602.447654601526,382.958772926473,1.43339908817668
range233_exp20_22.dng,central,603.239679842298,384.135693908049,4.10335631941786,4.17260619841167,9.74419034798804,602.36903792935,382.947257040534,1.47322758888413
range233_exp20_23.dng,central,603.240579421439,384.107369495175,4.08948194148322,4.14088013194394,9.69049998759162,602.34416639584,382.927201819955,1.48200946491595
range233_exp20_24.dng,central,603.241048512609,384.061876603523,4.09183653461966,4.20005943747892,9.76295053581683,602.444283180132,382.994517013385,1.33195025796653
range233_exp20_25.dng,central,603.195689361751,384.071895476583,4.13626774736873,4.19590223433742,9.81036950549528,602.268935056437,382.890561099297,1.50147409347493
range233_exp20_26.dng,central,603.173946333724,384.123199474356,4.09793547142113,4.22042642271855,9.79411174293298,602.286986955138,383.046134266624,1.39526570980855
range233_exp20_27.dng,central,603.173016058411,384.111008792417,4.02897258730082,4.20696070346178,9.69705958740487,602.353537003758,383.043456951479,1.34581308290116
range233_exp20_28.dng,central,603.228350887331,384.117057965722,4.06615381925796,4.15706987941628,9.68209520298586,602.299424815119,383.020213640099,1.43734864326166
range233_exp20_29.dng,central,603.214442119343,384.093074539633,4.08415231792926,4.18561739103245,9.7368988808908,602.336783308691,382.913257762445,1.47046000137717
range233_exp20_3.dng,central,603.15633886611,384.177539998811,4.12416299647645,4.16420939213284,9.7588018379279,602.237596649485,382.940077319588,1.54123364324854
range233_exp20_30.dng,central,603.185139576661,384.138288850519,4.10721132892356,4.11241327826275,9.67785760132168,602.294339622641,382.946513535685,1.48790220079452
range233_exp20_31.dng,central,603.188322930006,384.108831254398,4.06166569119701,4.16921722704227,9.6911132348097,602.335860979463,382.863981042654,1.50875558882185
range233_exp20_32.dng,central,603.223382436167,384.128367486543,4.07243981034988,4.15539065087422,9.68751924533466,602.277319086935,382.938805245265,1.51989940016938
range233_exp20_33.dng,central,603.235286311985,384.111904248044,4.07844793855007,4.18788619380685,9.73285380307416,602.434055932484,382.89822935628,1.45429600285971
range233_exp20_34.dng,central,603.208003766055,384.084348812979,4.08537941706606,4.17422769436048,9.72493335004174,602.422687261252,382.956651718984,1.37419894794029
range233_exp20_35.dng,central,603.22696345298,384.091213577667,4.09671156910782,4.14227117991008,9.70065004611394,602.378228179144,382.946387708401,1.42512379672561
range233_exp20_36.dng,central,603.195279132058,384.109148003599,4.10729581543629,4.18933210385009,9.76852197164865,602.339210611453,382.972339048851,1.42309097093848
range233_exp20_37.dng,central,603.180363816195,384.075787189657,4.09266178567137,4.11338164255514,9.66186700292914,602.40546888106,382.938433148801,1.37623994083516
range233_exp20_38.dng,central,603.184104121759,384.112152075788,4.13348932529408,4.17647127242878,9.78421998336072,602.443707538014,383.000161759948,1.33593022412963
range233_exp20_39.dng,central,603.198894324072,384.147862857744,4.06462635683386,4.16163363025245,9.68567015540678,602.391125041241,382.928241504454,1.46286276174087
range233_exp20_4.dng,central,603.217595717676,384.117302765088,4.08282806730165,4.20577967897339,9.7590789500934,602.55173548281,382.912156604705,1.37686132935123
range233_exp20_40.dng,central,603.236781487026,384.136500231292,4.10455492301962,4.15634729302911,9.72645821750362,602.385295045756,382.891763963395,1.50811058489869
range233_exp20_41.dng,central,603.202706455413,384.088233685158,4.08992582007287,4.14975535233567,9.70147237589698,602.3325680551,382.905706789111,1.46816575888866
range233_exp20_42.dng,central,603.239997510922,384.093349606754,4.07411865080055,4.11628642183467,9.64345426685369,602.396033057851,382.882148760331,1.47623964464525
range233_exp20_43.dng,central,603.190440474036,384.15711933939,4.13006447009666,4.09692911851677,9.68653390423412,602.359649122807,382.944444444444,1.46996417306894
range233_exp20_44.dng,central,603.210810009759,384.107226294218,4.12462342997474,4.1684020100288,9.76428038116524,602.383908045977,382.851231527094,1.50375852873705
range233_exp20_45.dng,central,603.22441652659,384.096930722958,4.08505355491932,4.13732637721929,9.68110174491802,602.427670869277,382.929827471798,1.4131290250063
range233_exp20_46.dng,central,603.257291601587,384.110332885642,4.08521029763655,4.19183065647737,9.74546010826191,602.347490980649,383.007051492293,1.43002342734945
range233_exp20_47.dng,central,603.208259971286,384.138590388812,4.10499224160797,4.15338169129863,9.72348139491201,602.44234869608,382.916024274233,1.44266696988746
range233_exp20_48.dng,central,603.251627625979,384.034156422538,4.13133173589598,4.1553874620778,9.75685535687518,602.38092948718,382.925641025641,1.40958207780445
range233_exp20_49.dng,central,603.219103420579,384.060119553362,4.10736545588373,4.19966709624327,9.78077247697434,602.304148970925,382.943809212676,1.44336080785983
range233_exp20_5.dng,central,603.213269006639,384.099295087737,4.1068628878617,4.17774212491676,9.75436609681272,602.377118644068,382.836049543677,1.51490485952606
range233_exp20_50.dng,central,603.244365908522,384.14329424253,4.07934055308404,4.16121791353894,9.70250530974587,602.478937879036,382.912473365022,1.44941370934292
range233_exp20_51.dng,central,603.227255859336,384.098634675247,4.11606996870097,4.13798786140432,9.71839957788264,602.364820846906,383.014169381107,1.38558981118459
range233_exp20_52.dng,central,603.197736551676,384.120609620031,4.10949741771358,4.15438795084845,9.72997060725455,602.380796864794,382.899412148922,1.46925617760995
range233_exp20_53.dng,central,603.197967330748,384.079304506809,4.06698916284237,4.1587087129996,9.68500832073198,602.348537431829,382.893571310527,1.45859328324977
range233_exp20_54.dng,central,603.193044079985,384.098869395035,4.11561765650598,4.18714350138195,9.77574330019556,602.315884181253,382.876819892033,1.50426542728729
range233_exp20_55.dng,central,603.221381290005,384.074751372695,4.08472526347977,4.18935602839841,9.74197537616838,602.441113135663,382.894980950803,1.41445277087975
range233_exp20_56.dng,central,603.141583626644,384.146828557245,4.11436762194555,4.15762722437477,9.73951877699666,602.451813132963,382.911466840902,1.4148858272519
range233_exp20_57.dng,central,603.237547009204,384.10601075737,4.11633283667955,4.13605539954032,9.71643378350061,602.417242513985,382.93764396183,1.42757852106209
range233_exp20_58.dng,central,603.205040108475,384.124238251371,4.1261535902473,4.17624169728839,9.77531252125628,602.45396007727,382.96603348358,1.38042004383034
