filename,led_role,gauss_x,gauss_y,sigma_x,sigma_y,FWHM_px,centroid_x,centroid_y,peak of gauss,blob area,centroid_to_gauss_dist
range0_exp100_1.dng,central,636.314920829481,425.049426263462,28.8156756967385,29.6042667459993,68.790415468194,635.799742673789,429.695864456472,81.3532940896082,10413,4.67491138029024
range0_exp100_10.dng,central,636.30467637623,425.02110479083,28.7322640172215,29.5511764277716,68.6302037811235,635.785255273713,429.7180504007,81.3540543572217,10410,4.72557894271368
range0_exp100_11.dng,central,636.312124929166,425.033440349705,28.7898909142626,29.5825701773907,68.7345807998874,635.796299858291,429.700053386301,81.4380104642231,10433,4.69503490264644
range0_exp100_12.dng,central,636.325611672098,425.007363908271,28.7794705736337,29.6094644453406,68.7545859860468,635.78465451379,429.667609030141,81.3883968635876,10408,4.69153698088768
range0_exp100_13.dng,central,636.315534092483,425.005776050491,28.7376500446019,29.5548257711592,68.6408123630122,635.763186980978,429.677808753559,81.4059135996845,10400,4.70456979012143
range0_exp100_14.dng,central,636.339704570301,425.041538231303,28.8140694997307,29.6052741781379,68.7897521464677,635.793869912469,429.674732054267,81.5265689182814,10425,4.66523530755333
range0_exp100_15.dng,central,636.325618072532,425.020710970383,28.7689535620253,29.58590611433,68.7142527764596,635.780262274027,429.689886670987,81.4496167986061,10394,4.70091636493142
range0_exp100_16.dng,central,636.315951767914,425.014165974544,28.7716118291192,29.5758613727221,68.7053489620562,635.760095615208,429.705841466992,81.4787772891955,10411,4.72448886007168
range0_exp100_17.dng,central,636.311689705904,425.034355121501,28.7843564453657,29.5634474303849,68.7053363867091,635.774007606838,429.673333149593,81.5023125254781,10416,4.67003417383414
range0_exp100_18.dng,central,636.356983525703,425.026699500502,28.7948579751001,29.5929817168457,68.7527733476536,635.795690860056,429.698165318215,81.4739370876244,10415,4.70506560449113
range0_exp100_19.dng,central,636.323757173588,425.01537945267,28.7716661616451,29.5941298127145,68.7272191295912,635.782913937542,429.679572818899,81.4241406373586,10417,4.69544578965077
range0_exp100_2.dng,central,636.30632071592,425.032439396111,28.7920617819597,29.6135786448771,68.7741119936976,635.744909764226,429.694832210929,81.39824844255,10398,4.69607165792368
range0_exp100_20.dng,central,636.315902392578,425.040226902262,28.7624498857523,29.5531920894519,68.6676566900817,635.746518769316,429.700537390996,81.4449215284018,10412,4.69496448994512
range0_exp100_21.dng,central,636.313133109122,425.035397544458,28.7366066164179,29.5648847666433,68.6516107774163,635.761231590825,429.703537200368,81.4660160390855,10413,4.70065135199144
range0_exp100_22.dng,central,636.338312468016,425.02000217797,28.8009816910624,29.6088259359427,68.7787934948881,635.788809488801,429.687500857717,81.5154327579842,10450,4.69973376369423
range0_exp100_23.dng,central,636.31820593442,425.04498884432,28.807880237633,29.5875720653801,68.7614425046957,635.768869122502,429.651180372214,81.4664456507517,10416,4.63883297010907
range0_exp100_24.dng,central,636.336835073603,425.023062996682,28.8043283519228,29.6056850232583,68.778930510378,635.780398934652,429.690716393407,81.44500898564,10413,4.70070307599735
range0_exp100_25.dng,central,636.320833682923,425.03454638122,28.7798969350275,29.5835461027968,68.7241404641847,635.771997683936,429.671526593377,81.5084219669803,10405,4.66934753918761
range0_exp100_26.dng,central,636.316037091574,425.011991325413,28.7942343009596,29.5917885625137,68.7506252362082,635.782153264551,429.681922895172,81.4651571132923,10411,4.70035028556262
range0_exp100_27.dng,central,636.326469481484,424.97501512962,28.7908153328672,29.6033059503789,68.7604019173998,635.763455025205,429.667025047259,81.4440272192448,10408,4.72566845485426
range0_exp100_28.dng,central,636.314411356955,425.001353606789,28.7769981557082,29.5992819219276,68.7395589955122,635.782363301104,429.671520767831,81.4414632674391,10403,4.70037620258233
range0_exp100_29.dng,central,636.325740151372,425.033306525377,28.8064362065761,29.5825089265162,68.7537248250105,635.816811922813,429.676092570286,81.4283170969942,10426,4.67059634314775
range0_exp100_3.dng,central,636.329110911697,425.025374017518,28.8097516996532,29.5982207223777,68.7763212061814,635.761510785697,429.68290563599,81.3496653564873,10415,4.69199005541312
range0_exp100_30.dng,central,636.307264776637,425.044866736948,28.7561421029886,29.5561507382216,68.6638625559434,635.768634057436,429.701628491207,81.4168976388144,10402,4.68780898582726
range0_exp100_31.dng,central,636.354970864498,425.038892207777,28.7796234712453,29.5852679745343,68.7258780565469,635.780031868022,429.688349264061,81.5207039813337,10398,4.68486987737119
range0_exp100_32.dng,central,636.346426175173,425.029262785524,28.8070708490289,29.6177258880374,68.796485951642,635.796209539195,429.657018459781,81.4758257252373,10395,4.66034987175023
range0_exp100_33.dng,central,636.33355031451,425.048762756277,28.7621813856661,29.5451069783076,68.6576977954593,635.801027504075,429.693416166613,81.4553802122907,10444,4.67508137317248
range0_exp100_34.dng,central,636.328408518089,425.028859662406,28.7857306804152,29.5848185100636,68.732432791831,635.773817076967,429.682357531024,81.4780378234909,10396,4.68642871276137
range0_exp100_35.dng,central,636.327586345271,425.013536039563,28.7994760578474,29.5798137009273,68.7424244396172,635.786220031237,429.683550735912,81.4538965685651,10410,4.70128862654564
range0_exp100_36.dng,central,636.32165611646,425.029611250049,28.7613938409062,29.5520055478997,68.6650144089072,635.771057106656,429.689693766761,81.4815993511354,10391,4.69249702526925
range0_exp100_37.dng,central,636.327075566349,425.030540210837,28.7991031106055,29.6057590051127,68.7729518267007,635.80864803217,429.675604408569,81.4517993207663,10421,4.67390505993136
range0_exp100_38.dng,central,636.327650261662,425.015930115174,28.7892431922823,29.6019267576892,68.7569304894042,635.786018451406,429.681671892727,81.3400349704014,10422,4.6970747654986
